epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,10014.3,0.7906,0.8346,1.16467,0.87183,0.93541,0.9264,0.80755,0.49388,0.49959,0.93526,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,10340.8,0.77996,0.81808,1.15979,0.93027,0.88182,0.96598,0.84299,0.49699,0.47551,0.93386,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,10668.4,0.77598,0.80762,1.15853,0.92778,0.92932,0.96751,0.85046,0.48942,0.47988,0.93292,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,10995.1,0.77748,0.80694,1.15717,0.93162,0.93574,0.96856,0.85486,0.48394,0.46563,0.92491,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,11321.8,0.76912,0.79135,1.15158,0.91038,0.94841,0.97061,0.8591,0.4749,0.45713,0.92044,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,11648.9,0.75764,0.78387,1.14771,0.9344,0.93966,0.97272,0.86087,0.4691,0.44729,0.91955,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,11977.2,0.75099,0.76566,1.1407,0.92131,0.95939,0.97056,0.863,0.46511,0.45263,0.91492,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,12306.5,0.74549,0.76384,1.13669,0.9282,0.94952,0.97357,0.86464,0.45937,0.43525,0.9091,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,12636.2,0.73597,0.75115,1.13512,0.93144,0.9554,0.97606,0.87043,0.4555,0.4249,0.90438,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,12964.9,0.72922,0.73598,1.12661,0.9292,0.95308,0.97575,0.87215,0.45328,0.41726,0.90481,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,13293.9,0.73511,0.72958,1.12717,0.93909,0.95097,0.97672,0.87381,0.45474,0.41337,0.90356,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,13621.8,0.71892,0.72002,1.1214,0.94083,0.94519,0.97764,0.87367,0.44945,0.41149,0.90114,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
